Generation	Best	Worst	Average
Generation	Best	Worst	Average
0	    0.000444	-9999.000000	 -119.992033
1	    0.000444	-9999.000000	 -149.986875
2	    0.000444	-9999.000000	 -129.988457
3	    0.000444	-9999.000000	 -139.986907
4	    0.000444	-9999.000000	 -119.988848
5	    0.000444	-9999.000000	  -49.995428
6	    0.000444	-9999.000000	  -19.998490
7	    0.000444	-9999.000000	   -9.999100
8	    0.000444	-9999.000000	   -9.999189
9	    0.000444	   -0.030933	   -0.000214
10	    0.000444	-9999.000000	   -9.999086
11	    0.000444	   -0.029272	   -0.000080
12	    0.000444	   -0.034987	   -0.000242
13	    0.000444	-9999.000000	   -9.999007
14	    0.000444	-9999.000000	  -19.998130
15	    0.000444	   -0.029032	   -0.000036
16	    0.000444	   -0.034800	   -0.000099
17	    0.000444	   -0.030609	    0.000015
18	    0.000444	   -0.030677	   -0.000088
19	    0.000444	   -0.030778	   -0.000140
20	    0.000444	   -0.033686	   -0.000021
21	    0.000444	   -0.030532	   -0.000060
22	    0.000444	   -0.030925	   -0.000104
23	    0.000444	   -0.029503	    0.000054
24	    0.000444	-9999.000000	   -9.998998
25	    0.000444	   -0.030381	    0.000132
26	    0.000444	   -0.030608	   -0.000062
27	    0.000444	   -0.034298	   -0.000051
28	    0.000444	   -0.027106	    0.000109
29	    0.000444	   -0.027795	    0.000031
30	    0.000444	   -0.026213	    0.000106
31	    0.000444	   -0.027394	    0.000095
32	    0.000444	   -0.020477	    0.000165
33	    0.000444	-9999.000000	   -9.998829
34	    0.000444	   -0.024914	    0.000206
Generation	Best	Worst	Average
0	    0.000416	-9999.000000	  -99.994201
1	    0.000416	-9999.000000	 -109.990869
2	    0.000416	-9999.000000	 -159.985057
3	    0.000416	-9999.000000	 -179.982895
4	    0.000416	-9999.000000	  -99.990574
5	    0.000416	-9999.000000	 -149.985528
6	    0.000416	-9999.000000	  -19.998416
7	    0.000416	   -0.030912	   -0.000261
8	    0.000416	   -0.032208	   -0.000202
9	    0.000416	   -0.024434	   -0.000090
10	    0.000416	   -0.026670	   -0.000154
11	    0.000416	   -0.033409	   -0.000123
12	    0.000416	   -0.029674	   -0.000061
13	    0.000416	   -0.033335	   -0.000145
14	    0.000416	-9999.000000	   -9.998899
15	    0.000416	   -0.032880	   -0.000058
16	    0.000416	   -0.036634	   -0.000068
17	    0.000416	   -0.035148	   -0.000222
18	    0.000416	-9999.000000	   -9.999192
19	    0.000416	   -0.034344	   -0.000244
20	    0.000416	   -0.037098	   -0.000413
21	    0.000416	-9999.000000	   -9.999068
22	    0.000416	   -0.041388	   -0.000108
23	    0.000416	-9999.000000	   -9.999104
24	    0.000416	   -0.036128	   -0.000071
25	    0.000416	-9999.000000	   -9.998955
26	    0.000416	   -0.035466	   -0.000056
27	    0.000416	   -0.032961	   -0.000045
28	    0.000416	   -0.032166	   -0.000276
29	    0.000416	-9999.000000	   -9.999041
30	    0.000416	   -0.027867	   -0.000006
31	    0.000416	   -0.034855	   -0.000123
32	    0.000416	   -0.036128	    0.000047
33	    0.000416	   -0.025068	    0.000134
34	    0.000416	   -0.027700	    0.000024
Generation	Best	Worst	Average
0	    0.000421	-9999.000000	 -109.992896
1	    0.000930	-9999.000000	 -209.980977
2	    0.000930	-9999.000000	  -79.993226
3	    0.000930	-9999.000000	  -89.991884
4	    0.000930	-9999.000000	 -109.989508
5	    0.000930	-9999.000000	 -139.986527
6	    0.000930	-9999.000000	  -59.994561
7	    0.000930	-9999.000000	  -69.993519
