,config name,data file,mdd,no_of_short_selling_transactions,no_of_transactions,noop,realised_profit,ret,u_buy,u_sell,value,wealth
high memory weight data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,high memory weight,data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,0.00080375214125829,0.0,49.0,2017.9,-0.9814543574349954,-0.0001962908714869991,0.0,0.0,-0.0003570412997386571,499999.0185456425
high memory weight data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,high memory weight,data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,0.000292305449977741,0.0,25.2,2312.5,-1.016081048490014,-0.0002032162096980028,0.0,0.0,-0.000261677299693551,499998.98391895153
lowest neighbour weight data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,lowest neighbour weight,data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,0.0006058481967010168,0.0,32.0,2037.0,0.7909869553113822,0.00015819739106227642,0.0,0.0,3.702775172207307e-05,500000.7909869553
lowest neighbour weight data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,lowest neighbour weight,data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,0.00030212895431914566,0.0,22.0,2316.1,-0.785897074494278,-0.0001571794148988556,0.0,0.0,-0.00021760520576268478,499999.21410292544
low neighbour weight data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,low neighbour weight,data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,0.0008160420279529904,0.0,42.7,2026.1,-0.15186064077424816,-3.037212815484964e-05,0.0,0.0,-0.00019358053374544774,499999.84813935915
low neighbour weight data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,low neighbour weight,data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,0.0003740502629468075,0.0,22.3,2319.7,-1.0782684682460968,-0.00021565369364921934,0.0,0.0,-0.0002904637462385809,499998.92173153174
medium high neighbour weight data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,medium high neighbour weight,data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,0.0008422470924771729,0.0,55.3,2011.7,0.6485365089320112,0.0001297073017864022,0.0,0.0,-3.8742116709032354e-05,500000.6485365089
medium high neighbour weight data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,medium high neighbour weight,data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,0.0002892259598782687,0.0,25.4,2309.4,-0.8217606009799056,-0.0001643521201959811,0.0,0.0,-0.00022219731217163483,499999.178239399
high neighbour weight data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,high neighbour weight,data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,0.0008795250621624276,0.0,51.3,2013.4,0.6192157113226131,0.00012384314226452262,0.0,0.0,-5.2061870167962874e-05,500000.6192157113
high neighbour weight data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,high neighbour weight,data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,0.0003048070389506639,0.0,19.5,2321.8,-0.8137162075785455,-0.0001627432415157091,0.0,0.0,-0.00022370464930584192,499999.18628379237
